Table S7 Average scaled expression for and percentage of cells expressing selected genes in clusters identified with bc-Smart-seq2 single-cell RNA sequencing (related to Fig 3D).;;;
gene;cluster;scaled.avg.exp;fraction.exp
C1QB;5;0,033895998;0,727272727
C1QA;5;0,345008157;0,556818182
SPP1;5;-0,681967752;0,909090909
B2M;5;0,514731055;0,920454545
APOE;5;0,550727368;0,465909091
CSF1R;5;-1,114394039;0,511363636
CX3CR1;5;1,348078844;0,352272727
ITGAM;5;-0,417700102;0,125
TMEM163;5;-1,319296057;0
VSIR;5;-1,141069521;0,215909091
ADGRG1;5;-0,646534752;0,340909091
P2RY12;5;0,124500028;0,261363636
TMEM119;5;0,542729419;0,125
FRG1;5;-0,372114688;0,136363636
SERF1A;5;2,267285663;0,988636364
MEF2C;5;-0,445358719;0,386363636
SMIM11A;5;-0,359743672;0,045454545
HLA-DPB1;5;-0,450995996;0,261363636
CD63;5;-0,42521119;0,295454545
GLUL;5;0,090863421;0,238636364
TREM2;5;0,102548715;0,25
NEAT1;5;0,800675184;0,863636364
ZNF302;5;-0,884342703;0,659090909
FGD2;5;1,29254366;0,761363636
AXL;5;0,233235338;0,636363636
LYZ;6;1,226077317;0,137931034
CTSZ;6;-0,971837469;0
LPL;6;-0,861989622;0,034482759
CTSD;6;-1,399728192;0,034482759
CTSB;6;-0,385465398;0,517241379
C1QB;6;-1,978020123;0,482758621
C1QA;6;-1,385526117;0,448275862
SPP1;6;-1,167133184;0,793103448
B2M;6;-1,372646521;0,724137931
APOE;6;1,3318873;0,551724138
CSF1R;6;2,075022703;0,413793103
CX3CR1;6;1,539757199;0,275862069
ITGAM;6;-0,447032047;0,034482759
TMEM163;6;-1,319296057;0
VSIR;6;-1,320833733;0,068965517
ADGRG1;6;-1,250032127;0,172413793
P2RY12;6;-2,01333645;0,103448276
TMEM119;6;-2,082563202;0
FRG1;6;2,267682869;0,827586207
SERF1A;6;-0,387554603;0
MEF2C;6;1,166459908;0,275862069
SMIM11A;6;-0,383708673;0
HLA-DPB1;6;-1,169066963;0,24137931
CD63;6;2,087446568;0,275862069
GLUL;6;-1,816310504;0,068965517
TREM2;6;-1,900171379;0,103448276
NEAT1;6;-1,254357644;0,689655172
ZNF302;6;-0,293253554;0,482758621
FGD2;6;-0,703521509;0,586206897
AXL;6;-0,257737353;0,517241379
