"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000243199",0.242312907783183,-0.308237383361072,0.092,0.082,1
"ENSG00000234498",0.242588628353172,-0.253934039557419,0.195,0.178,1
"ENSG00000235264",0.243183730281084,-0.302660396311231,0.019,0.015,1
"ENSG00000105483",0.243524092063159,-0.350172252500088,0.113,0.101,1
"ENSG00000071189",0.24361664409574,-0.641433510293169,0.067,0.074,1
"ENSG00000070501",0.243628254374425,-0.469310265720683,0.011,0.008,1
"ENSG00000185834",0.24517788874209,-0.141041155384909,0.184,0.167,1
"ENSG00000261371",0.245293905113903,-0.374217158050365,0.058,0.051,1
"ENSG00000054965",0.246322297726788,0.446491845700274,0.011,0.015,1
"ENSG00000164125",0.247998310616563,0.684057471199291,0.01,0.007,1
"ENSG00000077147",0.249857494625858,-0.221175520121077,0.056,0.049,1
"ENSG00000108651",0.250599381526349,-0.12909681780557,0.034,0.039,1
"ENSG00000167258",0.251340914941464,-1.30927127694186,0.007,0.01,1
"ENSG00000165280",0.252882636021617,-0.11159255154319,0.038,0.033,1
"ENSG00000179818",0.253659739159138,-0.230821435729687,0.018,0.014,1
"ENSG00000166295",0.253902869179549,-0.457112074334058,0.079,0.086,1
"ENSG00000241343",0.254030947789369,-0.141578761619503,0.049,0.042,1
"ENSG00000173889",0.255117875594153,-0.317077169080105,0.045,0.052,1
"ENSG00000180370",0.255945051756531,0.36046594271508,0.063,0.056,1
"ENSG00000087266",0.256191475104626,-0.730191083911947,0.026,0.022,1
"ENSG00000164022",0.256374836469613,1.14921387114798,0.015,0.011,1
"ENSG00000054267",0.257055588671928,-0.537485267334272,0.07,0.078,1
"ENSG00000198408",0.257316658812701,-0.208499400285612,0.053,0.046,1
"ENSG00000172890",0.259008246672295,0.388906483152146,0.015,0.011,1
"ENSG00000200075",0.259026078347013,-0.538859528370298,0.085,0.092,1
"ENSG00000175886",0.260046711675654,0.481490028219093,0.012,0.009,1
"ENSG00000100393",0.260165575917185,-0.954366458324752,0.045,0.05,1
"ENSG00000135090",0.260223730878179,-0.3578496263531,0.071,0.063,1
"ENSG00000132967",0.261406532273666,-0.318552024776441,0.231,0.208,1
"ENSG00000147202",0.262179443977656,-0.108431355254186,0.068,0.06,1
"ENSG00000073331",0.262363681048121,0.615377944816955,0.021,0.017,1
"ENSG00000146826",0.262680022367405,-0.206076165092344,0.009,0.012,1
"ENSG00000171867",0.263703603959324,-0.353503542004347,0.029,0.025,1
"ENSG00000164985",0.264770468552539,-0.420945470607218,0.082,0.089,1
"ENSG00000110330",0.265690602925589,-0.325497189232737,0.027,0.022,1
"ENSG00000151490",0.265909785641514,0.66765198314534,0.011,0.008,1
"ENSG00000099797",0.266183573336698,-0.772163504416045,0.024,0.019,1
"ENSG00000137770",0.266315186337505,-1.1742001831887,0.013,0.016,1
"ENSG00000168255",0.266583178761207,-0.405512021141572,0.146,0.153,1
"ENSG00000128604",0.266776032255743,-1.23776531196617,0.01,0.013,1
"ENSG00000165525",0.267165184034146,-0.125579972148449,0.071,0.063,1
"ENSG00000185896",0.268725030728966,-0.47316859882277,0.067,0.074,1
"ENSG00000129566",0.268756740735885,-1.31964679789031,0.01,0.013,1
"ENSG00000218739",0.268991931418359,0.140318157677321,0.047,0.053,1
"ENSG00000107771",0.269625140970168,-0.542091902841603,0.027,0.032,1
"ENSG00000173875",0.270080813421965,-0.988585262051705,0.018,0.022,1
"ENSG00000163902",0.270703069054671,-0.145109468151341,0.158,0.148,1
"ENSG00000175387",0.271357202966508,-0.719717063226727,0.035,0.04,1
"ENSG00000215548",0.274329879839763,-0.962205763794774,0.007,0.01,1
"ENSG00000171862",0.2759700034709,-0.480873187042035,0.195,0.2,1
"ENSG00000055609",0.276264740875932,-0.433429159812374,0.126,0.133,1
"ENSG00000198677",0.276296263359179,0.128178959090506,0.019,0.015,1
"ENSG00000260793",0.27670302250034,0.276166828301041,0.016,0.013,1
"ENSG00000167193",0.276802313652567,-0.902703741178183,0.011,0.014,1
"ENSG00000237676",0.27693790718315,-0.800160055782048,0.009,0.012,1
"ENSG00000241860",0.277378279515655,-0.100325154475755,0.083,0.074,1
"ENSG00000174720",0.277728515698203,-0.255922614816647,0.056,0.062,1
"ENSG00000225918",0.277861796968615,0.250269371061091,0.026,0.022,1
"ENSG00000100888",0.277924582088877,0.28837661881961,0.016,0.013,1
"ENSG00000164163",0.278911438963459,-0.121066153431284,0.019,0.015,1
"ENSG00000144802",0.279000420719239,0.29229342905238,0.038,0.033,1
"ENSG00000136485",0.280893674072302,-1.25188906647523,0.012,0.015,1
"ENSG00000223960",0.28119129201607,-0.171196558473631,0.013,0.01,1
"ENSG00000144426",0.282027473463978,-0.15555460863349,0.01,0.008,1
"ENSG00000168010",0.282680445719977,0.765943417687792,0.01,0.007,1
"ENSG00000142599",0.283114920321624,-0.466824288584788,0.018,0.022,1
"ENSG00000198034",0.283180400479847,-0.11899954161647,0.155,0.144,1
"ENSG00000257267",0.28412925379107,-0.585077588719897,0.01,0.013,1
"ENSG00000139613",0.284183804340684,-0.567368207038047,0.014,0.017,1
"ENSG00000174123",0.284192168209403,-0.659722966867976,0.019,0.022,1
"ENSG00000116095",0.285501191938197,0.273201053415311,0.024,0.02,1
"ENSG00000108306",0.287243885517316,-0.178395591571364,0.01,0.007,1
"ENSG00000031003",0.288380272778717,-0.463964507062404,0.015,0.019,1
"ENSG00000078140",0.288644853470285,-0.481522949822224,0.018,0.014,1
"ENSG00000122299",0.289067837219611,-0.331375420002637,0.037,0.031,1
"ENSG00000226972",0.289840509673321,-0.181589162418072,0.008,0.011,1
"ENSG00000163106",0.290550636020439,-0.750745024852833,0.013,0.01,1
"ENSG00000138029",0.291716445799014,-0.22417355529462,0.024,0.019,1
"ENSG00000145687",0.291897863854921,-1.19241368906902,0.013,0.017,1
"ENSG00000112697",0.291905603328422,-0.208206288152434,0.028,0.023,1
"ENSG00000187555",0.292837502451916,-0.693865392561106,0.038,0.032,1
