"filename","full_path","GSM_ID","donor_ID","condition","sample_ID","seq_ID"
"GSM4403239_2019-010_AD_54-1_S8_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403239_2019-010_AD_54-1_S8_completeCounts.txt","GSM4403239","2019-010","AD","54-1","S8"
"GSM4403240_2019-032_AD_60-3_S9_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403240_2019-032_AD_60-3_S9_completeCounts.txt","GSM4403240","2019-032","AD","60-3","S9"
"GSM4403241_2019-032_AD_59-1_S4_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403241_2019-032_AD_59-1_S4_completeCounts.txt","GSM4403241","2019-032","AD","59-1","S4"
"GSM4403242_2019-010_AD_52-4_S3_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403242_2019-010_AD_52-4_S3_completeCounts.txt","GSM4403242","2019-010","AD","52-4","S3"
"GSM4403243_2018-120_CTR_46-2_S5_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403243_2018-120_CTR_46-2_S5_completeCounts.txt","GSM4403243","2018-120","CTR","46-2","S5"
"GSM4403244_2018-120_CTR_45-1_S1_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403244_2018-120_CTR_45-1_S1_completeCounts.txt","GSM4403244","2018-120","CTR","45-1","S1"
"GSM4403245_2018-135_AD_49-3_S6_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403245_2018-135_AD_49-3_S6_completeCounts.txt","GSM4403245","2018-135","AD","49-3","S6"
"GSM4403246_2019-032_AD_58-2_S2_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403246_2019-032_AD_58-2_S2_completeCounts.txt","GSM4403246","2019-032","AD","58-2","S2"
"GSM4403247_2018-135_AD_50-3_S9_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403247_2018-135_AD_50-3_S9_completeCounts.txt","GSM4403247","2018-135","AD","50-3","S9"
"GSM4403248_2019-030_AD_55-1_S1_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403248_2019-030_AD_55-1_S1_completeCounts.txt","GSM4403248","2019-030","AD","55-1","S1"
"GSM4403249_2019-010_AD_53-3_S6_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403249_2019-010_AD_53-3_S6_completeCounts.txt","GSM4403249","2019-010","AD","53-3","S6"
"GSM4403250_2019-032_AD_60-2_S8_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403250_2019-032_AD_60-2_S8_completeCounts.txt","GSM4403250","2019-032","AD","60-2","S8"
"GSM4403251_2019-010_AD_52-3_S3_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403251_2019-010_AD_52-3_S3_completeCounts.txt","GSM4403251","2019-010","AD","52-3","S3"
"GSM4403252_2018-135_AD_51-4_S4_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403252_2018-135_AD_51-4_S4_completeCounts.txt","GSM4403252","2018-135","AD","51-4","S4"
"GSM4403253_2019-030_AD_57-1_S7_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403253_2019-030_AD_57-1_S7_completeCounts.txt","GSM4403253","2019-030","AD","57-1","S7"
"GSM4403254_2018-120_CTR_46-1_S5_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403254_2018-120_CTR_46-1_S5_completeCounts.txt","GSM4403254","2018-120","CTR","46-1","S5"
"GSM4403255_2018-120_CTR_47-4_S10_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403255_2018-120_CTR_47-4_S10_completeCounts.txt","GSM4403255","2018-120","CTR","47-4","S10"
"GSM4403256_2019-010_AD_53-2_S5_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403256_2019-010_AD_53-2_S5_completeCounts.txt","GSM4403256","2019-010","AD","53-2","S5"
"GSM4403257_2019-032_AD_58-4_S3_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403257_2019-032_AD_58-4_S3_completeCounts.txt","GSM4403257","2019-032","AD","58-4","S3"
"GSM4403258_2019-032_AD_58-1_S1_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403258_2019-032_AD_58-1_S1_completeCounts.txt","GSM4403258","2019-032","AD","58-1","S1"
"GSM4403259_2019-032_AD_59-4_S7_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403259_2019-032_AD_59-4_S7_completeCounts.txt","GSM4403259","2019-032","AD","59-4","S7"
"GSM4403260_2018-120_CTR_46-3_S6_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403260_2018-120_CTR_46-3_S6_completeCounts.txt","GSM4403260","2018-120","CTR","46-3","S6"
"GSM4403261_2018-135_AD_49-1_S4_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403261_2018-135_AD_49-1_S4_completeCounts.txt","GSM4403261","2018-135","AD","49-1","S4"
"GSM4403262_2019-030_AD_57-3_S9_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403262_2019-030_AD_57-3_S9_completeCounts.txt","GSM4403262","2019-030","AD","57-3","S9"
"GSM4403263_2019-032_AD_60-4_S10_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403263_2019-032_AD_60-4_S10_completeCounts.txt","GSM4403263","2019-032","AD","60-4","S10"
"GSM4403264_2018-135_AD_50-2_S8_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403264_2018-135_AD_50-2_S8_completeCounts.txt","GSM4403264","2018-135","AD","50-2","S8"
"GSM4403265_2019-030_AD_55-3_S2_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403265_2019-030_AD_55-3_S2_completeCounts.txt","GSM4403265","2019-030","AD","55-3","S2"
"GSM4403266_2019-030_AD_56-2_S9_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403266_2019-030_AD_56-2_S9_completeCounts.txt","GSM4403266","2019-030","AD","56-2","S9"
"GSM4403267_2019-032_AD_59-3_S8_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403267_2019-032_AD_59-3_S8_completeCounts.txt","GSM4403267","2019-032","AD","59-3","S8"
"GSM4403268_2018-120_CTR_47-3_S7_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403268_2018-120_CTR_47-3_S7_completeCounts.txt","GSM4403268","2018-120","CTR","47-3","S7"
"GSM4403269_2019-010_AD_54-4_S6_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403269_2019-010_AD_54-4_S6_completeCounts.txt","GSM4403269","2019-010","AD","54-4","S6"
"GSM4403270_2018-135_AD_49-4_S5_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403270_2018-135_AD_49-4_S5_completeCounts.txt","GSM4403270","2018-135","AD","49-4","S5"
"GSM4403271_2018-135_AD_51-1_S4_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403271_2018-135_AD_51-1_S4_completeCounts.txt","GSM4403271","2018-135","AD","51-1","S4"
"GSM4403272_2019-030_AD_55-2_S3_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403272_2019-030_AD_55-2_S3_completeCounts.txt","GSM4403272","2019-030","AD","55-2","S3"
"GSM4403273_2019-030_AD_57-2_S2_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403273_2019-030_AD_57-2_S2_completeCounts.txt","GSM4403273","2019-030","AD","57-2","S2"
"GSM4403274_2019-032_AD_58-3_S1_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403274_2019-032_AD_58-3_S1_completeCounts.txt","GSM4403274","2019-032","AD","58-3","S1"
"GSM4403275_2019-042_CTR_61-1_S1_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403275_2019-042_CTR_61-1_S1_completeCounts.txt","GSM4403275","2019-042","CTR","61-1","S1"
"GSM4403276_2019-030_AD_55-4_S2_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403276_2019-030_AD_55-4_S2_completeCounts.txt","GSM4403276","2019-030","AD","55-4","S2"
"GSM4403277_2019-042_CTR_62-1_S3_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403277_2019-042_CTR_62-1_S3_completeCounts.txt","GSM4403277","2019-042","CTR","62-1","S3"
"GSM4403278_2019-032_AD_59-2_S4_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403278_2019-032_AD_59-2_S4_completeCounts.txt","GSM4403278","2019-032","AD","59-2","S4"
"GSM4403279_2019-030_AD_56-3_S5_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403279_2019-030_AD_56-3_S5_completeCounts.txt","GSM4403279","2019-030","AD","56-3","S5"
"GSM4403280_2019-042_CTR_62-4_S6_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403280_2019-042_CTR_62-4_S6_completeCounts.txt","GSM4403280","2019-042","CTR","62-4","S6"
"GSM4403281_2019-032_AD_60-1_S7_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403281_2019-032_AD_60-1_S7_completeCounts.txt","GSM4403281","2019-032","AD","60-1","S7"
"GSM4403282_2019-042_CTR_63-2_S8_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403282_2019-042_CTR_63-2_S8_completeCounts.txt","GSM4403282","2019-042","CTR","63-2","S8"
"GSM4403283_2019-010_AD_54-3_S9_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403283_2019-010_AD_54-3_S9_completeCounts.txt","GSM4403283","2019-010","AD","54-3","S9"
"GSM4403284_2018-135_AD_50-4_S10_completeCounts.txt","F:/R_project/data/GSE146639_RAW/GSM4403284_2018-135_AD_50-4_S10_completeCounts.txt","GSM4403284","2018-135","AD","50-4","S10"
"GSM4403287_BE_RNAseq_Pool_I_001_S4_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403287_BE_RNAseq_Pool_I_001_S4_sorted.bam.featureCounts.genes.txt","GSM4403287","BE","RNAseq","Pool","I"
"GSM4403288_BE_RNAseq_Pool_I_002_S5_sorted.bam.featureCounts.genes.txt","F:/R_project/data/GSE146639_RAW/GSM4403288_BE_RNAseq_Pool_I_002_S5_sorted.bam.featureCounts.genes.txt","GSM4403288","BE","RNAseq","Pool","I"
